instance,global_ctr,tag,ld,st,ld_miss,st_miss,dma_read_req,dma_write_req
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083196,84410368,31,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083196,84410368,28,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083196,84410368,3,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083196,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083196,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083196,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083196,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083196,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083197,84410368,31,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083197,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083197,84410368,3,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083197,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083197,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083197,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083197,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083197,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083198,84410368,31,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083198,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083198,84410368,4,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083198,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083198,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083198,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083198,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083198,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083199,84410368,31,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083199,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083199,84410368,4,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083199,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083199,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083199,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083199,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083199,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083200,84410368,32,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083200,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083200,84410368,4,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083200,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083200,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083200,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083200,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083200,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083201,84410368,32,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083201,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083201,84410368,5,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083201,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083201,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083201,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083201,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083201,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083202,84410368,32,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083202,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083202,84410368,6,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083202,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083202,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083202,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083202,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083202,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083203,84410368,32,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083203,84410368,28,96,1,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083203,84410368,6,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083203,84410368,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083203,84410368,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083203,84410368,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083203,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083203,84410368,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083268,2232156160,36,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083268,2232156160,42,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083268,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083268,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083268,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083268,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083268,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083269,2232156160,36,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083269,2232156160,43,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083269,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083269,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083269,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083269,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083269,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083270,2232156160,36,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083270,2232156160,44,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083270,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083270,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083270,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083270,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083270,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083271,2232156160,36,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083271,2232156160,44,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083271,2232156160,14,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083271,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083271,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083271,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083271,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083271,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083272,2232156160,37,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083272,2232156160,44,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083272,2232156160,15,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083272,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083272,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083272,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083272,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083272,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083273,2232156160,37,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083273,2232156160,45,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083273,2232156160,15,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083273,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083273,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083273,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083273,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083273,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083274,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083274,2232156160,37,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083274,2232156160,46,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083274,2232156160,15,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083274,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083274,2232156160,129,102,0,13,13,12
